% 2013-11-12 21:26:09.004000
% {
%   "maps": [
%     "normalize_date",
%     "day_and_time",
%     "calculate_traffic"
%   ],
%   "filters": [
%     "has_weather"
%   ],
%   "attributes": [
%     [
%       "hour",
%       "hour",
%       "NOMINAL"
%     ],
%     [
%       "day",
%       "day",
%       "NOMINAL"
%     ],
%     [
%       "weather",
%       "weather.current_observation.weather",
%       "NOMINAL"
%     ],
%     [
%       "weekend",
%       "weekend",
%       "NOMINAL"
%     ],
%     [
%       "traffic_level",
%       "traffic_level",
%       "NUMERIC"
%     ]
%   ]
% }

@RELATION 'TrafficData'

@ATTRIBUTE 'hour' {'0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23'}
@ATTRIBUTE 'day' {'0', '1', '2', '3', '4', '5', '6'}
@ATTRIBUTE 'weather' {'Mostly-Cloudy', 'Shallow-Fog', 'Clear', 'Overcast', 'Rain', 'Scattered-Clouds', 'Haze', 'Fog', 'Partly-Cloudy'}
@ATTRIBUTE 'weekend' {'False', 'True'}
@ATTRIBUTE 'traffic_level' 'NUMERIC'

@DATA
15,5,Clear,True,0.165269461078
16,5,Partly-Cloudy,True,0.388725778039
16,5,Clear,True,0.220113851992
16,5,Partly-Cloudy,True,0.283382789318
16,5,Clear,True,0.630966952264
17,5,Scattered-Clouds,True,0.678041543027
17,5,Clear,True,0.290926548248
17,5,Partly-Cloudy,True,0.626682986536
17,5,Scattered-Clouds,True,0.344685848503
18,5,Scattered-Clouds,True,0.777448071217
18,5,Clear,True,0.11854402361
18,5,Scattered-Clouds,True,0.598943041691
18,5,Partly-Cloudy,True,0.593635250918
19,5,Scattered-Clouds,True,0.70178041543
19,5,Partly-Cloudy,True,0.411496869664
19,5,Scattered-Clouds,True,0.637698179683
19,5,Partly-Cloudy,True,0.403916768666
20,5,Clear,True,1.10703547805
20,5,Clear,True,0.08005521049
21,5,Clear,True,0.0993377483444
21,5,Partly-Cloudy,True,0.150038372985
21,5,Clear,True,0.129054520359
22,5,Clear,True,0.0761589403974
22,5,Clear,True,0.0875675675676
23,5,Clear,True,0.153421633554
1,6,Partly-Cloudy,True,0.0794491525424
2,6,Clear,True,0.155664221679
2,6,Clear,True,0.0775401069519
2,6,Partly-Cloudy,True,0.114406779661
4,6,Partly-Cloudy,True,0.0308590492077
5,6,Rain,True,0.0717863105175
5,6,Clear,True,0.125668449198
5,6,Overcast,True,0.017607457276
9,6,Overcast,True,0.184186046512
9,6,Overcast,True,0.100493218249
10,6,Overcast,True,0.193023255814
11,6,Overcast,True,0.188888888889
11,6,Overcast,True,0.215348837209
11,6,Overcast,True,0.122157824342
11,6,Mostly-Cloudy,True,0.100161550889
13,6,Scattered-Clouds,True,0.0982694684796
14,6,Scattered-Clouds,True,0.0543806646526
14,6,Clear,True,0.0713224368499
16,6,Overcast,True,0.179505300353
17,6,Overcast,True,0.121993127148
17,6,Overcast,True,0.111371629543
17,6,Mostly-Cloudy,True,0.177374301676
17,6,Overcast,True,0.698339483395
18,6,Mostly-Cloudy,True,0.226955307263
18,6,Mostly-Cloudy,True,0.147360703812
18,6,Overcast,True,0.54704797048
19,6,Overcast,True,0.487084870849
19,6,Mostly-Cloudy,True,0.137096774194
20,6,Overcast,True,0.0818806127839
20,6,Overcast,True,0.248603351955
21,6,Overcast,True,0.11345646438
4,0,Overcast,False,-0.0163043478261
5,0,Mostly-Cloudy,False,0.0663716814159
5,0,Overcast,False,0.0625
6,0,Overcast,False,0.0580448065173
6,0,Overcast,False,0.269607843137
7,0,Overcast,False,0.415032679739
7,0,Overcast,False,0.211111111111
7,0,Overcast,False,0.152613827993
7,0,Overcast,False,0.168845722824
7,0,Partly-Cloudy,False,0.661129568106
8,0,Overcast,False,0.539653035936
9,0,Clear,False,0.442241968558
10,0,Partly-Cloudy,False,0.348484848485
10,0,Scattered-Clouds,False,0.263454317897
11,0,Scattered-Clouds,False,0.0982478097622
11,0,Scattered-Clouds,False,0.142303218302
12,0,Scattered-Clouds,False,0.0285714285714
12,0,Scattered-Clouds,False,0.0801001251564
13,0,Mostly-Cloudy,False,0.0974789915966
16,0,Clear,False,0.095953002611
17,0,Scattered-Clouds,False,0.795978710822
17,0,Scattered-Clouds,False,0.882949932341
18,0,Mostly-Cloudy,False,1.09828009828
18,0,Mostly-Cloudy,False,1.38592027142
18,0,Mostly-Cloudy,False,1.18450620934
18,0,Overcast,False,0.920475892298
19,0,Mostly-Cloudy,False,0.410770194114
19,0,Scattered-Clouds,False,0.293611236973
20,0,Mostly-Cloudy,False,0.0909090909091
2,1,Scattered-Clouds,False,0.168856447689
3,1,Scattered-Clouds,False,0.125060827251
7,1,Mostly-Cloudy,False,0.234892787524
7,1,Overcast,False,1.01060267857
14,1,Overcast,False,0.135524798155
16,1,Clear,False,0.140797693417
16,1,Scattered-Clouds,False,0.203400503778
17,1,Overcast,False,0.47040302267
17,1,Overcast,False,1.05351773903
18,1,Clear,False,1.79317931793
18,1,Clear,False,1.73351099267
19,1,Clear,False,0.493863237873
19,1,Clear,False,0.116279069767
21,1,Clear,False,0.361462728551
2,2,Clear,False,0.100724160632
3,2,Clear,False,0.129032258065
4,2,Clear,False,0.083607636603
5,2,Scattered-Clouds,False,0.109756097561
7,2,Clear,False,0.0822580645161
8,2,Clear,False,0.0738678544915
